epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.2935,3.20751,12.6576,1.172,0.45832,0.43811,0.3571,0.10955,2.54413,2.42389,1.01183,0.000659091,0.000659091,0.000659091
2,123.877,2.65355,1.75901,0.97451,0.39198,0.46592,0.31495,0.09514,2.66042,1.75757,0.96856,0.00129951,0.00129951,0.00129951
3,184.238,2.67563,1.75087,0.96641,0.48521,0.40334,0.37223,0.11955,2.63199,1.52818,1.00082,0.00191352,0.00191352,0.00191352
4,243.822,2.5318,1.61538,0.94403,0.57571,0.47983,0.46189,0.16263,2.36981,1.45916,0.97608,0.0018812,0.0018812,0.0018812
5,303.293,2.49251,1.5336,0.94019,0.6179,0.4903,0.51031,0.1789,2.30898,1.35364,0.92637,0.0018416,0.0018416,0.0018416
6,364.033,2.44765,1.49146,0.93038,0.66409,0.52244,0.55826,0.18966,2.20833,1.23361,0.92109,0.001802,0.001802,0.001802
7,424.188,2.41754,1.42111,0.92364,0.59671,0.52271,0.53191,0.19545,2.19125,1.2428,0.92566,0.0017624,0.0017624,0.0017624
8,483.807,2.3784,1.37797,0.92473,0.70283,0.51321,0.55323,0.19582,2.25396,1.25909,0.92122,0.0017228,0.0017228,0.0017228
9,541.503,2.36602,1.41756,0.9183,0.68971,0.50082,0.55434,0.2139,2.19953,1.24786,0.91827,0.0016832,0.0016832,0.0016832
10,602.338,2.33627,1.36032,0.90729,0.69012,0.58232,0.62346,0.23111,2.08989,1.22584,0.9002,0.0016436,0.0016436,0.0016436
11,662.747,2.27198,1.30969,0.90189,0.72575,0.57302,0.64344,0.24601,2.038,1.10358,0.90064,0.001604,0.001604,0.001604
12,722.536,2.27925,1.27846,0.90542,0.62718,0.51043,0.5111,0.16751,2.18628,1.28137,0.90317,0.0015644,0.0015644,0.0015644
13,784.504,2.25661,1.28924,0.90257,0.68772,0.60033,0.63871,0.24394,2.02202,1.14133,0.90557,0.0015248,0.0015248,0.0015248
14,842.48,2.2415,1.27978,0.90861,0.69761,0.59944,0.64293,0.24629,2.05023,1.11264,0.89783,0.0014852,0.0014852,0.0014852
15,903.066,2.23873,1.25701,0.8947,0.70728,0.62448,0.66441,0.25712,2.00629,1.10074,0.89698,0.0014456,0.0014456,0.0014456
16,969.385,2.18113,1.20842,0.89401,0.73306,0.58693,0.62928,0.24786,2.0392,1.09421,0.90425,0.001406,0.001406,0.001406
17,1029.8,2.17875,1.18828,0.89603,0.73341,0.58832,0.64943,0.26695,2.01228,1.07194,0.9019,0.0013664,0.0013664,0.0013664
18,1089.34,2.1888,1.22745,0.88222,0.75465,0.56189,0.63614,0.26253,1.98968,1.0872,0.8949,0.0013268,0.0013268,0.0013268
19,1151.67,2.15228,1.23473,0.88515,0.71861,0.61892,0.65185,0.25615,2.0258,1.09633,0.90118,0.0012872,0.0012872,0.0012872
20,1218.3,2.16617,1.19055,0.88793,0.76273,0.6064,0.66084,0.27807,1.93538,1.02918,0.89494,0.0012476,0.0012476,0.0012476
21,1284.77,2.15904,1.16385,0.88731,0.72225,0.59313,0.65023,0.25114,2.01272,1.09294,0.89277,0.001208,0.001208,0.001208
22,1360.01,2.13579,1.16542,0.88491,0.76759,0.59666,0.68223,0.27337,1.96544,1.06178,0.88893,0.0011684,0.0011684,0.0011684
23,1424.38,2.07916,1.1371,0.87817,0.74499,0.6298,0.68573,0.27334,1.98435,1.02266,0.89254,0.0011288,0.0011288,0.0011288
24,1484.83,2.106,1.13497,0.87742,0.73275,0.63304,0.68407,0.28271,1.93841,1.03117,0.88277,0.0010892,0.0010892,0.0010892
25,1544.02,2.04648,1.12003,0.87294,0.76035,0.64866,0.70159,0.28881,1.92876,0.97666,0.88489,0.0010496,0.0010496,0.0010496
26,1608.96,2.10967,1.11479,0.87693,0.76756,0.65218,0.69191,0.2816,1.91776,1.06421,0.88053,0.00101,0.00101,0.00101
27,1667.07,2.06312,1.11069,0.86881,0.75723,0.62726,0.68735,0.27564,1.90977,0.99215,0.88615,0.0009704,0.0009704,0.0009704
28,1728.65,2.04272,1.0886,0.87446,0.75782,0.63282,0.66153,0.27084,1.96367,0.99248,0.89275,0.0009308,0.0009308,0.0009308
29,1792.76,2.08918,1.11129,0.87364,0.78617,0.63839,0.68681,0.27788,1.93888,1.01588,0.88708,0.0008912,0.0008912,0.0008912
30,1850.53,2.01493,1.06976,0.87282,0.76308,0.63611,0.70873,0.30328,1.88761,0.95799,0.88267,0.0008516,0.0008516,0.0008516
31,1911.74,2.03488,1.10095,0.87641,0.7394,0.6393,0.68077,0.27702,1.94771,0.98722,0.88743,0.000812,0.000812,0.000812
32,1982.13,2.03688,1.07661,0.86918,0.76174,0.66701,0.71371,0.29229,1.92472,0.98005,0.88499,0.0007724,0.0007724,0.0007724
33,2054.43,2.04264,1.07418,0.86625,0.76699,0.67177,0.70381,0.29681,1.88077,0.98604,0.87614,0.0007328,0.0007328,0.0007328
34,2113.12,2.00157,1.06962,0.86534,0.73877,0.6608,0.68934,0.2759,1.90118,0.99314,0.88012,0.0006932,0.0006932,0.0006932
35,2178.47,2.01762,1.04196,0.86851,0.79244,0.65312,0.70588,0.29912,1.8595,0.94541,0.87742,0.0006536,0.0006536,0.0006536
36,2241.26,1.97964,1.04397,0.86417,0.79835,0.68011,0.73423,0.30476,1.87931,0.92483,0.87851,0.000614,0.000614,0.000614
37,2301.62,1.95174,1.01368,0.86846,0.77021,0.68995,0.71985,0.29612,1.88184,0.92391,0.88117,0.0005744,0.0005744,0.0005744
38,2371.97,2.00246,1.0252,0.86448,0.81118,0.67733,0.74054,0.30878,1.86539,0.91951,0.87287,0.0005348,0.0005348,0.0005348
39,2436.91,1.99149,1.01116,0.85698,0.77596,0.66759,0.71761,0.30991,1.8842,0.92118,0.87919,0.0004952,0.0004952,0.0004952
40,2498.84,1.95097,0.98976,0.85865,0.83178,0.65786,0.73853,0.31891,1.83832,0.90122,0.87434,0.0004556,0.0004556,0.0004556
41,2563.06,1.94536,1.01156,0.86982,0.78857,0.65925,0.70666,0.28476,1.90744,0.96272,0.87807,0.000416,0.000416,0.000416
42,2626.36,1.93111,0.99901,0.86921,0.81055,0.66342,0.71352,0.30595,1.85702,0.91795,0.8733,0.0003764,0.0003764,0.0003764
43,2705.1,1.93998,1.01445,0.86989,0.79139,0.67009,0.72398,0.28222,1.92766,0.9499,0.87665,0.0003368,0.0003368,0.0003368
44,2775.83,1.88206,0.94801,0.86008,0.80353,0.6826,0.74024,0.30781,1.8723,0.91086,0.87972,0.0002972,0.0002972,0.0002972
45,2833.72,1.88412,0.95218,0.86129,0.82173,0.69237,0.75002,0.3143,1.84996,0.93203,0.87603,0.0002576,0.0002576,0.0002576
46,2896.49,1.86001,0.92815,0.85561,0.79444,0.67191,0.73128,0.30585,1.86362,0.92133,0.87649,0.000218,0.000218,0.000218
47,2963.54,1.87254,0.92239,0.85228,0.80587,0.69124,0.73814,0.31524,1.84822,0.90035,0.87702,0.0001784,0.0001784,0.0001784
