epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.76942,2.78181,26.7311,1.34315,0.37125,0.34314,0.26665,0.10445,2.01225,11.7848,1.03417,0.0004,0.0004,0.0004
2,4.3827,2.30747,3.50825,1.03219,0.27856,0.28431,0.14126,0.03974,2.55841,3.55232,1.19407,0.000803764,0.000803764,0.000803764
3,6.38765,2.10714,1.80698,1.07221,0.36577,0.47059,0.35806,0.12958,2.08329,1.96411,1.04691,0.0011909,0.0011909,0.0011909
4,9.10537,1.99686,1.42753,1.06353,0.39981,0.47059,0.3365,0.10306,2.2851,1.78473,1.06599,0.0015614,0.0015614,0.0015614
5,11.0557,2.14179,1.58713,1.05641,0.53175,0.44118,0.45898,0.18546,1.97503,1.26921,0.99803,0.0018416,0.0018416,0.0018416
6,13.6435,2.07049,1.36835,1.02283,0.53532,0.46078,0.43579,0.18694,2.2334,1.31417,1.12789,0.001802,0.001802,0.001802
7,15.6123,2.04663,1.38262,1.01297,0.174,0.44118,0.11915,0.04434,2.07629,6.1104,1.03379,0.0017624,0.0017624,0.0017624
8,17.5905,2.00275,1.28903,1.0139,0.45723,0.20588,0.18595,0.0739,2.40362,1.97172,2.69329,0.0017228,0.0017228,0.0017228
9,19.5579,1.83696,1.33378,1.0278,0.36008,0.29793,0.16125,0.05739,2.12109,1.85105,1.15772,0.0016832,0.0016832,0.0016832
10,21.5221,1.84653,1.29364,1.01087,0.46599,0.55882,0.47091,0.18478,1.90415,1.16091,1.00104,0.0016436,0.0016436,0.0016436
11,24.095,1.84709,1.17699,0.96766,0.50883,0.55861,0.491,0.18325,2.03504,1.17536,1.00091,0.001604,0.001604,0.001604
12,26.6887,1.82247,1.17652,0.98974,0.54182,0.57843,0.52526,0.21107,1.85098,1.12181,0.96126,0.0015644,0.0015644,0.0015644
13,29.2511,1.80837,1.17561,0.99809,0.4752,0.59804,0.53495,0.21966,1.73713,1.13672,0.9605,0.0015248,0.0015248,0.0015248
14,31.8076,1.8245,1.15436,0.97007,0.55793,0.53922,0.54666,0.24493,1.70742,1.15927,0.97289,0.0014852,0.0014852,0.0014852
15,34.561,1.68824,1.05908,0.95472,0.72441,0.55882,0.59894,0.2258,1.75613,1.13298,0.94227,0.0014456,0.0014456,0.0014456
16,36.5183,1.70063,1.04896,0.98279,0.67891,0.59804,0.64668,0.27862,1.7597,1.06031,0.94715,0.001406,0.001406,0.001406
17,39.1035,1.67554,1.08926,0.94266,0.54072,0.71569,0.64073,0.26296,1.71153,1.04023,0.96591,0.0013664,0.0013664,0.0013664
18,41.0567,1.73984,1.14942,0.98916,0.49407,0.62745,0.53783,0.25876,1.71231,1.12186,0.94211,0.0013268,0.0013268,0.0013268
19,43.0456,1.59132,1.02751,0.96131,0.62859,0.61396,0.62512,0.28204,1.67603,1.01913,0.93469,0.0012872,0.0012872,0.0012872
20,45.6337,1.52612,0.93603,0.90811,0.57705,0.65543,0.63175,0.31285,1.49789,0.95158,0.90486,0.0012476,0.0012476,0.0012476
21,48.2248,1.62191,0.97082,0.93213,0.67113,0.66027,0.71026,0.33647,1.47886,0.93078,0.89415,0.001208,0.001208,0.001208
22,50.8149,1.62248,0.98329,0.93606,0.69852,0.67647,0.72393,0.34953,1.53899,0.99416,0.89181,0.0011684,0.0011684,0.0011684
23,53.3901,1.43125,0.88489,0.91156,0.68851,0.71514,0.71006,0.37523,1.46888,0.8901,0.90432,0.0011288,0.0011288,0.0011288
24,56.0801,1.42421,0.88685,0.91196,0.70807,0.62745,0.70766,0.39347,1.48178,0.87562,0.90835,0.0010892,0.0010892,0.0010892
25,58.6419,1.44841,0.90155,0.91207,0.77002,0.60784,0.68514,0.34761,1.58714,0.88168,0.90854,0.0010496,0.0010496,0.0010496
26,60.592,1.42834,0.94584,0.89746,0.75682,0.61765,0.67973,0.34173,1.45726,0.85609,0.91598,0.00101,0.00101,0.00101
27,62.5464,1.34471,0.82864,0.89122,0.70267,0.69508,0.72951,0.3848,1.35756,0.82718,0.8865,0.0009704,0.0009704,0.0009704
28,64.503,1.3654,0.85273,0.8997,0.72995,0.73529,0.76119,0.39936,1.32819,0.86104,0.9135,0.0009308,0.0009308,0.0009308
29,67.0833,1.35543,0.82854,0.88384,0.71014,0.69608,0.72226,0.37095,1.33524,0.85472,0.88157,0.0008912,0.0008912,0.0008912
30,69.0532,1.45909,0.881,0.8784,0.77603,0.67647,0.71263,0.34597,1.49772,0.93079,0.88173,0.0008516,0.0008516,0.0008516
31,71.0245,1.42158,0.84968,0.87841,0.70673,0.75602,0.74267,0.37978,1.37921,0.86505,0.88105,0.000812,0.000812,0.000812
32,73.1024,1.4235,0.84832,0.92116,0.73974,0.69608,0.7477,0.40141,1.36335,0.80301,0.87964,0.0007724,0.0007724,0.0007724
33,75.6716,1.33856,0.78454,0.86565,0.82902,0.69608,0.7828,0.42384,1.26534,0.7582,0.85958,0.0007328,0.0007328,0.0007328
34,78.2329,1.30581,0.77033,0.87713,0.76519,0.72549,0.79582,0.43775,1.18355,0.76403,0.85821,0.0006932,0.0006932,0.0006932
35,80.8249,1.22795,0.771,0.85664,0.80041,0.7451,0.80869,0.44821,1.23389,0.7774,0.86442,0.0006536,0.0006536,0.0006536
36,83.419,1.23229,0.76954,0.86212,0.79716,0.72549,0.77106,0.41659,1.31367,0.73004,0.86499,0.000614,0.000614,0.000614
37,85.362,1.24339,0.72898,0.85182,0.76857,0.72549,0.75795,0.40499,1.34945,0.76883,0.86894,0.0005744,0.0005744,0.0005744
38,87.3414,1.24504,0.72072,0.86112,0.75661,0.7549,0.75698,0.40105,1.33703,0.74273,0.86741,0.0005348,0.0005348,0.0005348
39,89.293,1.18096,0.706,0.85539,0.76429,0.76296,0.79439,0.42983,1.29105,0.75754,0.8633,0.0004952,0.0004952,0.0004952
40,91.2714,1.22053,0.72199,0.85057,0.80379,0.76471,0.81564,0.44042,1.27183,0.72151,0.86057,0.0004556,0.0004556,0.0004556
41,94.0294,1.16183,0.69733,0.85406,0.74304,0.7451,0.78688,0.43014,1.33681,0.75079,0.86655,0.000416,0.000416,0.000416
42,96.0094,1.14381,0.68311,0.82337,0.7646,0.78431,0.81006,0.43901,1.27214,0.74007,0.85597,0.0003764,0.0003764,0.0003764
43,97.9733,1.14706,0.69885,0.83545,0.78458,0.7451,0.81641,0.45009,1.27376,0.70962,0.85243,0.0003368,0.0003368,0.0003368
44,100.548,1.1318,0.69929,0.82842,0.80602,0.7549,0.80738,0.45142,1.26115,0.74191,0.85308,0.0002972,0.0002972,0.0002972
45,103.125,1.0391,0.65102,0.82538,0.78961,0.76471,0.80304,0.44787,1.29726,0.75785,0.84843,0.0002576,0.0002576,0.0002576
46,105.081,1.07772,0.65091,0.85252,0.79081,0.74126,0.80937,0.44973,1.23556,0.74507,0.84234,0.000218,0.000218,0.000218
47,107.034,1.06929,0.68324,0.81997,0.7735,0.69608,0.78088,0.41944,1.28216,0.76014,0.84419,0.0001784,0.0001784,0.0001784
48,109.001,1.09322,0.65911,0.80754,0.80015,0.70588,0.78617,0.45743,1.22439,0.71266,0.8421,0.0001388,0.0001388,0.0001388
49,111.566,1.05094,0.64,0.81452,0.80534,0.73012,0.80371,0.4712,1.1747,0.69297,0.8472,9.92e-05,9.92e-05,9.92e-05
50,115.419,1.02265,0.62582,0.82834,0.78762,0.7451,0.80322,0.47857,1.14278,0.70342,0.83962,5.96e-05,5.96e-05,5.96e-05
